prefix_length_tokens,prefix_length_actual_tokens,repetition,condition,order,ttft_ms,prompt_tokens,cached_tokens,generated_tokens,total_request_latency_ms,timestamp_utc,request_id,server_request_id
4096,4096,0,miss,hit_then_miss,2236.950428,4137,0,1,2237.049103,2026-07-25T13:18:32.019625+00:00,pcache-3946bcc22e554e0c9a70a054795eec8f,chatcmpl-fc30333869de4ab4bf54d3dd0c44eaaa
4096,4096,1,hit,hit_then_miss,97.208605,4137,4112,1,97.244467,2026-07-25T13:19:24.387615+00:00,pcache-85902f404d194547bdb520d97c16a662,chatcmpl-4676d9bd12464f65992445b839326794
4096,4096,1,miss,hit_then_miss,2078.570179,4137,0,1,2078.664209,2026-07-25T13:19:26.466342+00:00,pcache-65320c45014b46e3b5e7bae064d35218,chatcmpl-5dddbd261ff949c4819a7b9dd41244a1
4096,4096,2,miss,miss_then_hit,2307.29938,4137,0,1,2307.341535,2026-07-25T13:20:18.688307+00:00,pcache-e7658e7ec2394575959079fe48df6e5f,chatcmpl-055d09897ea5459d9a9f7f5cffb8544a
4096,4096,2,hit,miss_then_hit,97.873551,4137,4112,1,97.967612,2026-07-25T13:20:20.991400+00:00,pcache-6e810845a01e4b4ca3db3a877380c4ef,chatcmpl-944418850e1b4f33ad1227776ae2b913
4096,4096,3,miss,miss_then_hit,2282.275358,4137,0,1,2282.313994,2026-07-25T13:21:13.173416+00:00,pcache-1b47d14859a44e74bd2493086b2fc9cf,chatcmpl-a80b500c67884c558ca640e9bdf308c7
4096,4096,3,hit,miss_then_hit,95.947393,4137,4112,1,96.018886,2026-07-25T13:21:15.358545+00:00,pcache-89365226708d4bdebb3bf30160e2a667,chatcmpl-df620dd8f195419b8ba2fde0695ad623
4096,4096,4,hit,hit_then_miss,97.555908,4137,4112,1,97.590768,2026-07-25T13:22:07.659423+00:00,pcache-f65ff7af0c8a4e1c82eae8a22e398816,chatcmpl-002691bb8efb4d1bb619b74eb0ae69a8
4096,4096,4,miss,hit_then_miss,2212.892345,4137,0,1,2212.970789,2026-07-25T13:22:09.872452+00:00,pcache-90cbabdd461e416c9240363e18cd5f66,chatcmpl-1ff5ee9de95b47de9e75818921622a42
4096,4096,5,hit,hit_then_miss,95.839348,4137,4112,1,95.87421,2026-07-25T13:23:02.146253+00:00,pcache-d4d634cf20924cbdbac858758d912a73,chatcmpl-11cde90349754045a33b9ba69bd5b78c
4096,4096,5,miss,hit_then_miss,2092.331416,4137,0,1,2092.42851,2026-07-25T13:23:04.238745+00:00,pcache-4e6069104b25480780262f5baa2661e4,chatcmpl-c35a81824c5742f281534c484707e343
4096,4096,6,miss,miss_then_hit,2325.292114,4137,0,1,2325.344359,2026-07-25T13:23:56.523968+00:00,pcache-9302b4c1683a4fad9d232623929a6ae0,chatcmpl-02a165463fd54b4c8309f48093559216
4096,4096,6,hit,miss_then_hit,97.563145,4137,4112,1,97.608984,2026-07-25T13:23:58.861678+00:00,pcache-523acf087306482183c038d3c49b9092,chatcmpl-1d44174ee3e2465dba960a3a1f13bac8
4096,4096,7,hit,hit_then_miss,97.359329,4137,4112,1,97.394437,2026-07-25T13:24:51.152037+00:00,pcache-be99ceb629744c768a32adfac9090598,chatcmpl-d2310dfe0237434487411e8c0a9c3bbb
4096,4096,7,miss,hit_then_miss,2246.510154,4137,0,1,2246.594058,2026-07-25T13:24:53.398693+00:00,pcache-de491048f3c2403f8582ec5c5e1f1377,chatcmpl-3a61a0cc1a6c4a409165f8bdcc40a6ad
4096,4096,8,miss,miss_then_hit,2388.853823,4137,0,1,2388.899878,2026-07-25T13:25:45.749451+00:00,pcache-29c4d9f9e8d5409289be9655292db40f,chatcmpl-51fbbfeea348476b87aaadbd318c7c81
4096,4096,8,hit,miss_then_hit,96.133505,4137,4112,1,96.242521,2026-07-25T13:25:48.087882+00:00,pcache-1afcd6bb5b304bd3818a759708a6206a,chatcmpl-a25648b0875449dfae90ae2dc7f88437
4096,4096,9,hit,hit_then_miss,97.093363,4137,4112,1,97.131292,2026-07-25T13:26:40.498271+00:00,pcache-b74c5dc7b2c040be86010d15ab749935,chatcmpl-40a37c05a340442d81644c204e7b8207
4096,4096,9,miss,hit_then_miss,2252.614724,4137,0,1,2252.696167,2026-07-25T13:26:42.751023+00:00,pcache-9b7485e4d7da49b6a8720eaf8995c29c,chatcmpl-42a7be1e43df46978005ec70e704a8d0
4096,4096,10,miss,miss_then_hit,2365.913512,4137,0,1,2365.962698,2026-07-25T13:27:34.955287+00:00,pcache-1f8a7c04409a4b22bf4fc6267587e27f,chatcmpl-79b5b2af9b9942988b6a5326a713db69
4096,4096,10,hit,miss_then_hit,97.760249,4137,4112,1,97.803694,2026-07-25T13:27:37.293472+00:00,pcache-da7fca3156714884a2da155e4f44b35d,chatcmpl-6751a0cf87d44c8184238024d73ade66
4096,4096,11,hit,hit_then_miss,97.519545,4137,4112,1,97.554754,2026-07-25T13:28:29.610602+00:00,pcache-2515bb899b3442ce918a7216f6f47635,chatcmpl-4f43314d850c4fcebe1147f986933fb0
4096,4096,11,miss,hit_then_miss,2249.428073,4137,0,1,2249.520625,2026-07-25T13:28:31.860185+00:00,pcache-96c68949573b4245951d68607ac019e2,chatcmpl-7649acddab1d4ccb97d85bbd17ef78e0
4096,4096,12,hit,hit_then_miss,95.584822,4137,4112,1,95.679508,2026-07-25T13:29:24.199651+00:00,pcache-08fa1c9b235b4008a6216e873acee48f,chatcmpl-7ea23f48600c478db17852d079f3b782
4096,4096,12,miss,hit_then_miss,2162.815072,4137,0,1,2162.8933,2026-07-25T13:29:26.362653+00:00,pcache-ff1d8555b614423299848e679a47f9aa,chatcmpl-01d324f43b794d20acd0cac95e0fb36a
4096,4096,13,miss,miss_then_hit,2363.500486,4137,0,1,2363.597887,2026-07-25T13:30:18.586014+00:00,pcache-e5630601bc844cf294d7d3d7cccbfac7,chatcmpl-9d277fb7e6a94784bc0dec3e28ddc160
4096,4096,13,hit,miss_then_hit,106.715869,4137,4112,1,106.80865,2026-07-25T13:30:21.379083+00:00,pcache-8a12be81f4994f339df97bac14330515,chatcmpl-a7b925a5484c44b4bb94dc6b0ab5732c
4096,4096,14,hit,hit_then_miss,100.547287,4137,4112,1,100.640199,2026-07-25T13:31:13.903607+00:00,pcache-60adaa522f0e4fc5b36b1aaec923cce1,chatcmpl-6cc90a33d51d4d2c8d5b9774bb58fd2e
4096,4096,14,miss,hit_then_miss,2445.007273,4137,0,1,2445.13389,2026-07-25T13:31:16.348855+00:00,pcache-efeaeeebf89b4edc954b5a8d5e153f79,chatcmpl-c1a193b00c7b44f9b52a0daac25b6671
